Date,AAPL,AMZN,GOOG,NVDA,SPY,TSLA,SPY_Volume,AAPL_Volume,NVDA_Volume,TSLA_Volume,GOOG_Volume,AMZN_Volume,AAPL_MA20,AAPL_MA50,AAPL_MA200,AMZN_MA20,AMZN_MA50,AMZN_MA200,GOOG_MA20,GOOG_MA50,GOOG_MA200,NVDA_MA20,NVDA_MA50,NVDA_MA200,SPY_MA20,SPY_MA50,SPY_MA200,TSLA_MA20,TSLA_MA50,TSLA_MA200,AAPL_STD,AAPL_Upper_Band,AAPL_Lower_Band,AMZN_STD,AMZN_Upper_Band,AMZN_Lower_Band,GOOG_STD,GOOG_Upper_Band,GOOG_Lower_Band,NVDA_STD,NVDA_Upper_Band,NVDA_Lower_Band,SPY_STD,SPY_Upper_Band,SPY_Lower_Band,TSLA_STD,TSLA_Upper_Band,TSLA_Lower_Band,AAPL_RSI,AMZN_RSI,GOOG_RSI,NVDA_RSI,SPY_RSI,TSLA_RSI,AAPL_Daily_Returns,AMZN_Daily_Returns,GOOG_Daily_Returns,NVDA_Daily_Returns,SPY_Daily_Returns,TSLA_Daily_Returns,Ticker
2020-02-12,79.40457916259766,108.0,75.64170837402344,6.785055160522461,312.8303527832031,51.15266799926758,43992700,113730400,374644000,180337500,23352000,66686000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPY
2020-02-13,78.8391342163086,107.49349975585938,75.46186065673828,6.741238594055176,312.4965515136719,53.599998474121094,54501900,94747600,528016000,394339500,18590000,60636000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007121062188758631,-0.00468981707537619,-0.0023776263274736253,-0.0064578054902521,-0.0010670360678286528,0.047843652551780025,AAPL
2020-02-14,78.85855102539062,106.74349975585938,75.76477813720703,7.214504241943359,312.9971923828125,53.33533477783203,64582200,80113600,1041924000,235405500,23956000,52124000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00024628389536540674,-0.006977166077050345,0.004014179849694655,0.07020455384942714,0.001602068460325734,-0.004937755668348531,NVDA
2020-02-18,77.41459655761719,107.78350067138672,75.71146392822266,7.383297920227051,312.190673828125,57.22666549682617,57226200,152531200,620164000,245725500,22414000,58912000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.018310689823713866,0.009742990607446878,-0.0007036806586805389,0.02339643482394349,-0.0025767597100394557,0.0729597130158357,TSLA
2020-02-19,78.53579711914062,108.51100158691406,76.06121063232422,7.834655284881592,313.6833190917969,61.16133117675781,48814700,93984000,694332000,381345000,18986000,51224000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014483064065172302,0.006749650094826309,0.004619468254281056,0.06113221619000586,0.0047811974821951875,0.06875580895325561,GOOG
2020-02-20,77.73008728027344,107.65499877929688,75.63573455810547,7.685282230377197,312.3946228027344,59.96066665649414,74163400,100566000,810052000,264523500,21932000,62626000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.010259141288715856,-0.007888626914309249,-0.005593864082383271,-0.019065683054701466,-0.0041082716568852096,-0.019631105097986157,AMZN
2020-02-21,75.97067260742188,104.79850006103516,73.9896469116211,7.3210577964782715,309.17742919921875,60.06666564941406,113788200,129554000,768180000,214722000,34634000,92926000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.022634924704350246,-0.026533823330561868,-0.021763359027336504,-0.04739246041729939,-0.010298492255249703,0.0017678087791648256,SPY
2020-02-24,72.36202239990234,100.4645004272461,70.82501220703125,6.803478240966797,298.9234924316406,55.58599853515625,161088400,222195200,856916000,227883000,57342000,130940000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04750056941271552,-0.04135555023463999,-0.042771317835452405,-0.07069737323484204,-0.03316521776552772,-0.07459490327646512,AAPL
2020-02-25,69.91095733642578,98.63700103759766,69.1739501953125,6.523899555206299,289.8653869628906,53.32733154296875,218913200,230673600,1055496000,259357500,49566000,124382000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033872257604009026,-0.018190498951138112,-0.023311849306745902,-0.0410934930425777,-0.030302420847105105,-0.040633739641448896,NVDA
2020-02-26,71.02001190185547,98.97949981689453,69.40960693359375,6.6633148193359375,288.7992858886719,51.91999816894531,194773800,198054800,747732000,211282500,44048000,104492000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015863816026616462,0.003472315416060967,0.0034067266307022948,0.021369928054514542,-0.003677917827268007,-0.026390470576789893,TSLA
